Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Indicator Name,Unit,Footnote (2019-2020),2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Treatment Plants,A1,Number of water treatment plants providing full treatment,plants,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Other Water Assets,A2,Length of water mains,km,,634,619,614,609,604,599,594,583,571,569,562,536,530,563,533,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Other Water Assets,A3,Number of properties served per km of water main,properties/km,,40,41,40,43.1,42,43,40,40,40,40,40,41.4,41,40,42,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater assets,A4,Number of wastewater treatment plants,plants,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater assets,A5,Length of sewer mains and channels,Km,,580,571,563,554,564,548,519,511,499,496,497,495,484,464,461,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater assets,A6,Number of properties served per km of sewer main,properties/km,,40,42,45,44.6,43.1,44,42,42,43,43,42,41.7,42,45,47,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Main Breaks,A8,"Number of water main breaks, bursts, and leaks, per 100 km of water mains",mains breaks/100 km,,3.5,4.5,3.9,3.3,4.1,4.7,10.3,7.7,6,7.4,6.8,11.8,8,15,14,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Losses,A9,Infrastructure leakage index (ILI),ratio,,0.3,0.6,0.9,1,1,1,1,1,1.3,1.1,1.4,1.4,1.8,2.6,2.2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Losses,A10,Real losses: service connections,L/service connection/day,,19,44,63,46.2,60,55,57,56,50,44,51,54.6,68.3,99,85.1,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Losses,A11,Real losses: water mains,kL/km water main/day,,0.7,1.7,2.4,1.8,,2,2.1,2.1,1.9,1.6,2,2.11,2.6,3.7,3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater breaks and chokes,A14,Number of sewer mains breaks and chokes per 100 km,breaks and chokes/100km,,52,44,9,78,76,65,75,67,,,185,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Wastewater breaks and chokes,A15,"Number of property connection sewer breaks and chokes per 1,000 properties","breaks and chokes/1,000 properties",,2.7,4.1,4.5,10.7,12.5,13.4,10.3,11.6,,,43.9,,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Assets,Water Main Breaks,IA8,"Number of water main breaks, bursts, and leaks",mains breaks,,22,28,24,20,25,28,61,45,34,42,38,63,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C1,Population receiving services: water supply,population 000s,,54,53.4,52.9,52.8,51.6,50.9,49.7,49.4,53.2,52,50.5,49.78,48,48,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C2,Number of connected residential properties: water supply,population 000s,,23.7,23.4,23.1,24.4,23.507,23.6,21.6,21.2,20.9,20.7,20.5,20.18,20,21,21,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Customers,Connected Properties and Population,C3,Number of connected non-residential properties: water supply,population 000s,,1.9,1.9,1.7,1.873,1.857,2.1,2,2,2,2.1,2,2.03,2,2,,,,
